date,Suspended Matter,Dissolved Oxygen Matter,Temperature,Chlorophyl,Turbidity,Salinity,Dissolved Oxygen,pH,Year,Month
15-04-2018,,,,,,,,,2018,4
15-04-2018,,,,,,,,,2018,4
15-04-2018,,,,,,,,,2018,4
15-04-2018,,,,,,,,,2018,4
15-04-2018,,,,,,,,,2018,4
15-04-2018,,,,,,,,,2018,4
15-04-2018,,,,,,,,,2018,4
17-04-2018,,0.610152042,,,,,,,2018,4
17-04-2018,,0.610152042,,,,,,,2018,4
17-04-2018,,0.610152042,,,,,,,2018,4
17-04-2018,,0.610152042,,,,,,,2018,4
17-04-2018,0.625485068,0.610152042,,,,,,,2018,4
17-04-2018,,0.610152042,,,,,,,2018,4
17-04-2018,,0.610152042,,,,,,,2018,4
17-04-2018,,0.610152042,,,,,,,2018,4
17-04-2018,,0.610152042,,,,,,,2018,4
17-04-2018,,0.610152042,,,,,,,2018,4
17-04-2018,,0.610152042,,,,,,,2018,4
17-04-2018,,0.610152042,,,,,,,2018,4
17-04-2018,,0.610152042,,,,,,,2018,4
17-04-2018,,0.610152042,,,,,,,2018,4
17-04-2018,,0.610152042,,,,,,,2018,4
18-04-2018,,,39.15800438,,,,,,2018,4
18-04-2018,,,39.15800438,,,,,,2018,4
18-04-2018,,,39.15800438,,,,,,2018,4
18-04-2018,,,39.15800438,,,,,,2018,4
18-04-2018,,,39.15800438,,,,,,2018,4
18-04-2018,,,39.15800438,,,,,,2018,4
18-04-2018,,,39.15800438,,,,,,2018,4
18-04-2018,,,39.15800438,,,,,,2018,4
18-04-2018,,,39.15800438,,,,,,2018,4
18-04-2018,,,39.15800438,,,,,,2018,4
18-04-2018,,,39.15800438,,,,,,2018,4
18-04-2018,,,39.15800438,,,,,,2018,4
18-04-2018,,,39.15800438,,,,,,2018,4
18-04-2018,,,39.15800438,,,,,,2018,4
19-04-2018,,,,,,,,,2018,4
19-04-2018,,,,,,,,,2018,4
19-04-2018,,,,,,,,,2018,4
19-04-2018,,,,,,,,,2018,4
19-04-2018,,,,,,,,,2018,4
19-04-2018,,,,,,,,,2018,4
19-04-2018,,,,,,,,,2018,4
19-04-2018,,,,,,,,,2018,4
19-04-2018,,,,,,,,,2018,4
19-04-2018,,,,,,,,,2018,4
19-04-2018,,,,,,,,,2018,4
19-04-2018,,,,,,,,,2018,4
19-04-2018,,,,,,,,,2018,4
19-04-2018,,,,,,,,,2018,4
19-04-2018,,,,,,,,,2018,4
20-04-2018,,0.65372906,,,,,,,2018,4
20-04-2018,,0.65372906,,,,,,,2018,4
20-04-2018,,0.65372906,,,,,,,2018,4
20-04-2018,,0.65372906,,,,,,,2018,4
20-04-2018,0.665866485,0.65372906,,,,,,,2018,4
20-04-2018,,0.65372906,,,,,,,2018,4
20-04-2018,,0.65372906,,,,,,,2018,4
20-04-2018,,0.65372906,,,,,,,2018,4
20-04-2018,,0.65372906,,,,,,,2018,4
20-04-2018,,0.65372906,,,,,,,2018,4
20-04-2018,,0.65372906,,,,,,,2018,4
20-04-2018,,0.65372906,,,,,,,2018,4
20-04-2018,,0.65372906,,,,,,,2018,4
20-04-2018,,0.65372906,,,,,,,2018,4
20-04-2018,,0.65372906,,,,,,,2018,4
21-04-2018,,0.623758624,,,,,,,2018,4
21-04-2018,,0.623758624,,,,,,,2018,4
21-04-2018,,0.623758624,,,,,,,2018,4
21-04-2018,,0.623758624,,,,,,,2018,4
21-04-2018,0.639251136,0.623758624,,,,,,,2018,4
21-04-2018,,0.623758624,,,,,,,2018,4
21-04-2018,,0.623758624,,,,,,,2018,4
21-04-2018,,0.623758624,,,,,,,2018,4
21-04-2018,,0.623758624,,,,,,,2018,4
21-04-2018,,0.623758624,,,,,,,2018,4
21-04-2018,,0.623758624,,,,,,,2018,4
21-04-2018,,0.623758624,,,,,,,2018,4
21-04-2018,,0.623758624,,,,,,,2018,4
21-04-2018,,0.623758624,,,,,,,2018,4
21-04-2018,,0.623758624,,,,,,,2018,4
23-04-2018,,,,,,,,,2018,4
23-04-2018,,,,,,,,,2018,4
23-04-2018,,,,,,,,,2018,4
23-04-2018,,,,,,,,,2018,4
23-04-2018,,,,,,,,,2018,4
23-04-2018,,,,,,,,,2018,4
23-04-2018,,,,,,,,,2018,4
23-04-2018,,,,,,,,,2018,4
23-04-2018,,,,,,,,,2018,4
23-04-2018,,,,,,,,,2018,4
23-04-2018,,,,,,,,,2018,4
23-04-2018,,,,,,,,,2018,4
23-04-2018,,,,,,,,,2018,4
23-04-2018,,,,,,,,,2018,4
23-04-2018,,,,,,,,,2018,4
24-04-2018,,0.64139732,,,,,,,2018,4
24-04-2018,,0.64139732,,,,,,,2018,4
24-04-2018,,0.64139732,,,,,,,2018,4
24-04-2018,,0.64139732,,,,,,,2018,4
24-04-2018,0.660408563,0.64139732,,,,,,,2018,4
24-04-2018,,0.64139732,,,,,,,2018,4
24-04-2018,,0.64139732,,,,,,,2018,4
